Data,ABREU E LIMA,AFRANIO,AGRESTINA,AGUA PRETA,AGUAS BELAS,ALAGOINHA,ALIANCA,ALTINHO,AMARAJI,ARACOIABA,ARARIPINA,ARCOVERDE,BARREIROS,BELO JARDIM,BETANIA,BEZERROS,BOM CONSELHO,BOM JARDIM,BONITO,BREJO DA MADRE DE DEUS,BUENOS AIRES,CABO DE SANTO AGOSTINHO,CABROBO,CACHOEIRINHA,CAETES,CAMARAGIBE,CAMOCIM DE SAO FELIX,CAPOEIRAS,CARNAIBA,CARPINA,CARUARU,CATENDE,CHA DE ALEGRIA,CHA GRANDE,CONDADO,CORRENTES,CORTES,CUPIRA,CUSTODIA,ESCADA,FEIRA NOVA,FERNANDO DE NORONHA,FERREIROS,FLORES,FLORESTA,FREI MIGUELINHO,GAMELEIRA,GARANHUNS,GLORIA DO GOITA,GOIANA,GRAVATA,IBIMIRIM,IGARASSU,ILHA DE ITAMARACA,INAJA,IPOJUCA,IPUBI,ITAMBE,ITAPETIM,ITAPISSUMA,ITAQUITINGA,JABOATAO DOS GUARARAPES,JAQUEIRA,JATAUBA,JATOBA,JOAO ALFREDO,JOAQUIM NABUCO,JUCATI,JUPI,JUREMA,LAGOA DO CARRO,LAGOA DO ITAENGA,LAGOA DOS GATOS,LAJEDO,LIMOEIRO,MACAPARANA,MACHADOS,MARAIAL,MORENO,NAZARE DA MATA,OLINDA,OROCO,OUTRO ESTADO,OUTRO PAIS,PALMARES,PANELAS,PASSIRA,PAUDALHO,PAULISTA,PEDRA,PESQUEIRA,PETROLINA,POCAO,POMBOS,PRIMAVERA,QUIPAPA,QUIXABA,RECIFE,RIBEIRAO,RIO FORMOSO,SAIRE,SALGUEIRO,SANHARO,SANTA CRUZ,SANTA CRUZ DO CAPIBARIBE,SANTA MARIA DO CAMBUCA,SAO BENTO DO UNA,SAO CAITANO,SAO JOAO,SAO JOSE DA COROA GRANDE,SAO JOSE DO BELMONTE,SAO JOSE DO EGITO,SAO LOURENCO DA MATA,SAO VICENTE FERRER,SERRA TALHADA,SERTANIA,SIRINHAEM,SURUBIM,TABIRA,TAMANDARE,TAQUARITINGA DO NORTE,TERRA NOVA,TIMBAUBA,TORITAMA,TRACUNHAEM,TRINDADE,TRIUNFO,TUPANATINGA,TUPARETAMA,VENTUROSA,VERTENTES,VICENCIA,VITORIA DE SANTO ANTAO,XEXEU
27 Apr,43.0,0.0,1.0,2.0,0.0,1.0,9.0,1.0,2.0,3.0,0.0,13.0,0.0,6.0,2.0,1.0,2.0,4.0,3.0,0.0,0.0,51.0,1.0,8.0,0.0,157.0,1.0,1.0,1.0,6.0,21.0,3.0,6.0,5.0,3.0,1.0,0.0,1.0,2.0,4.0,2.0,28.0,1.0,0.0,0.0,4.0,1.0,7.0,6.0,15.0,5.0,1.0,34.0,6.0,1.0,20.0,2.0,1.0,1.0,3.0,2.0,355.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,10.0,3.0,2.0,0.0,15.0,3.0,320.0,1.0,12.0,3.0,6.0,1.0,1.0,17.0,233.0,1.0,1.0,12.0,1.0,10.0,0.0,1.0,1.0,1935.0,3.0,1.0,0.0,11.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,1.0,0.0,1.0,105.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,0.0,1.0,8.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,47.0,1.0
28 Apr,49.0,0.0,1.0,2.0,0.0,1.0,9.0,1.0,2.0,3.0,0.0,13.0,0.0,7.0,2.0,1.0,2.0,4.0,3.0,0.0,0.0,54.0,1.0,8.0,0.0,161.0,1.0,1.0,2.0,6.0,21.0,3.0,7.0,5.0,3.0,1.0,0.0,1.0,2.0,5.0,2.0,28.0,1.0,1.0,0.0,4.0,1.0,8.0,6.0,15.0,5.0,1.0,37.0,6.0,1.0,21.0,2.0,1.0,1.0,3.0,2.0,374.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,2.0,4.0,2.0,2.0,0.0,12.0,4.0,2.0,0.0,16.0,3.0,334.0,1.0,12.0,3.0,6.0,1.0,1.0,17.0,250.0,4.0,1.0,12.0,1.0,10.0,1.0,1.0,1.0,2008.0,3.0,1.0,0.0,11.0,0.0,0.0,3.0,1.0,2.0,7.0,0.0,2.0,1.0,1.0,110.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,0.0,1.0,8.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,49.0,2.0
29 Apr,51.0,1.0,1.0,2.0,0.0,1.0,9.0,1.0,3.0,3.0,0.0,13.0,0.0,7.0,2.0,1.0,2.0,6.0,3.0,0.0,0.0,56.0,1.0,8.0,0.0,168.0,1.0,1.0,2.0,8.0,21.0,3.0,8.0,6.0,4.0,1.0,0.0,1.0,3.0,6.0,2.0,28.0,1.0,1.0,0.0,4.0,1.0,8.0,8.0,17.0,5.0,1.0,38.0,6.0,1.0,21.0,2.0,1.0,1.0,3.0,2.0,388.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,2.0,5.0,2.0,2.0,0.0,12.0,4.0,2.0,0.0,18.0,3.0,345.0,1.0,13.0,3.0,6.0,2.0,1.0,18.0,260.0,4.0,1.0,12.0,1.0,10.0,1.0,1.0,1.0,2117.0,3.0,1.0,0.0,12.0,0.0,0.0,3.0,1.0,2.0,7.0,0.0,4.0,1.0,1.0,112.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,55.0,2.0
30 Apr,54.0,1.0,1.0,2.0,0.0,1.0,9.0,1.0,3.0,3.0,0.0,14.0,0.0,7.0,2.0,1.0,2.0,7.0,3.0,0.0,0.0,59.0,1.0,8.0,1.0,177.0,1.0,1.0,2.0,8.0,23.0,4.0,9.0,6.0,5.0,2.0,0.0,2.0,3.0,6.0,2.0,28.0,2.0,1.0,0.0,5.0,1.0,9.0,10.0,18.0,6.0,1.0,43.0,7.0,1.0,23.0,2.0,1.0,1.0,5.0,2.0,423.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,2.0,8.0,3.0,2.0,0.0,14.0,4.0,2.0,0.0,20.0,4.0,377.0,1.0,13.0,3.0,7.0,2.0,2.0,18.0,283.0,4.0,1.0,12.0,1.0,10.0,1.0,1.0,1.0,2276.0,4.0,1.0,1.0,12.0,0.0,0.0,3.0,1.0,2.0,7.0,1.0,4.0,1.0,1.0,123.0,1.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,9.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,63.0,2.0
01 May,59.0,1.0,1.0,3.0,0.0,1.0,10.0,1.0,4.0,4.0,0.0,14.0,1.0,7.0,2.0,1.0,2.0,7.0,4.0,0.0,0.0,75.0,1.0,8.0,3.0,189.0,1.0,1.0,2.0,11.0,25.0,4.0,9.0,7.0,5.0,2.0,0.0,2.0,3.0,7.0,2.0,28.0,2.0,1.0,0.0,5.0,1.0,11.0,11.0,19.0,7.0,2.0,50.0,7.0,1.0,24.0,2.0,1.0,1.0,5.0,2.0,447.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,3.0,11.0,3.0,2.0,0.0,14.0,4.0,2.0,0.0,20.0,5.0,407.0,1.0,13.0,3.0,7.0,2.0,2.0,18.0,310.0,4.0,1.0,13.0,1.0,10.0,1.0,1.0,1.0,2429.0,5.0,1.0,1.0,13.0,0.0,0.0,3.0,1.0,2.0,7.0,1.0,4.0,1.0,1.0,127.0,1.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,10.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,68.0,2.0
02 May,61.0,1.0,1.0,4.0,1.0,1.0,10.0,1.0,4.0,5.0,0.0,15.0,1.0,7.0,2.0,1.0,2.0,7.0,4.0,1.0,0.0,81.0,1.0,8.0,3.0,202.0,1.0,1.0,2.0,12.0,27.0,4.0,10.0,7.0,6.0,2.0,1.0,2.0,3.0,8.0,2.0,28.0,2.0,1.0,0.0,5.0,1.0,11.0,12.0,20.0,8.0,3.0,60.0,11.0,1.0,25.0,2.0,1.0,1.0,5.0,2.0,477.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,11.0,3.0,2.0,0.0,14.0,4.0,2.0,0.0,20.0,5.0,443.0,1.0,14.0,3.0,10.0,2.0,3.0,18.0,331.0,4.0,2.0,15.0,1.0,12.0,1.0,1.0,1.0,2634.0,5.0,1.0,1.0,13.0,0.0,0.0,3.0,1.0,2.0,7.0,1.0,4.0,1.0,2.0,130.0,1.0,5.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,11.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,69.0,2.0
03 May,64.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,4.0,5.0,1.0,15.0,1.0,7.0,2.0,1.0,2.0,7.0,4.0,1.0,1.0,95.0,1.0,8.0,3.0,210.0,1.0,1.0,2.0,15.0,30.0,4.0,10.0,8.0,6.0,2.0,1.0,2.0,3.0,8.0,2.0,28.0,2.0,1.0,0.0,5.0,1.0,11.0,12.0,23.0,8.0,3.0,63.0,13.0,1.0,26.0,2.0,1.0,1.0,6.0,2.0,499.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,11.0,3.0,2.0,0.0,14.0,4.0,2.0,0.0,21.0,5.0,480.0,1.0,16.0,3.0,10.0,2.0,4.0,19.0,351.0,4.0,3.0,15.0,1.0,12.0,1.0,1.0,1.0,2780.0,5.0,2.0,1.0,14.0,0.0,0.0,3.0,1.0,2.0,7.0,1.0,4.0,1.0,2.0,134.0,1.0,5.0,2.0,5.0,2.0,3.0,4.0,1.0,1.0,12.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,74.0,2.0
04 May,64.0,1.0,1.0,5.0,1.0,1.0,11.0,1.0,4.0,6.0,1.0,15.0,1.0,7.0,2.0,2.0,2.0,7.0,4.0,1.0,1.0,95.0,1.0,8.0,3.0,214.0,1.0,1.0,2.0,15.0,32.0,5.0,10.0,8.0,6.0,2.0,2.0,2.0,3.0,9.0,3.0,28.0,3.0,1.0,1.0,5.0,1.0,11.0,12.0,23.0,8.0,4.0,63.0,13.0,1.0,30.0,2.0,1.0,1.0,7.0,2.0,511.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,11.0,3.0,2.0,1.0,15.0,4.0,2.0,0.0,22.0,5.0,493.0,1.0,16.0,3.0,10.0,2.0,5.0,20.0,363.0,4.0,3.0,15.0,1.0,12.0,1.0,1.0,1.0,2837.0,5.0,2.0,1.0,14.0,1.0,0.0,3.0,1.0,2.0,8.0,1.0,4.0,1.0,2.0,134.0,1.0,5.0,2.0,5.0,2.0,3.0,4.0,1.0,1.0,12.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,75.0,2.0
05 May,66.0,1.0,1.0,5.0,1.0,1.0,11.0,1.0,4.0,6.0,1.0,16.0,1.0,7.0,2.0,2.0,2.0,8.0,4.0,1.0,2.0,103.0,1.0,8.0,3.0,223.0,1.0,1.0,2.0,15.0,34.0,5.0,12.0,8.0,6.0,2.0,2.0,3.0,3.0,11.0,4.0,28.0,3.0,1.0,1.0,5.0,1.0,12.0,12.0,23.0,8.0,4.0,63.0,13.0,1.0,30.0,2.0,2.0,1.0,8.0,3.0,561.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,11.0,4.0,2.0,1.0,16.0,4.0,2.0,0.0,22.0,5.0,512.0,1.0,16.0,3.0,11.0,2.0,5.0,20.0,375.0,4.0,3.0,15.0,1.0,12.0,1.0,1.0,1.0,2958.0,6.0,2.0,1.0,16.0,1.0,0.0,5.0,1.0,2.0,9.0,1.0,4.0,1.0,2.0,144.0,1.0,5.0,2.0,6.0,2.0,3.0,5.0,1.0,1.0,12.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,87.0,2.0
06 May,71.0,1.0,1.0,6.0,2.0,1.0,12.0,1.0,4.0,6.0,1.0,16.0,1.0,7.0,2.0,3.0,2.0,8.0,5.0,1.0,2.0,110.0,1.0,8.0,3.0,235.0,1.0,1.0,2.0,15.0,35.0,5.0,12.0,9.0,6.0,2.0,2.0,3.0,3.0,11.0,4.0,28.0,3.0,1.0,1.0,5.0,3.0,13.0,12.0,25.0,9.0,4.0,63.0,13.0,1.0,32.0,2.0,2.0,1.0,19.0,3.0,589.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,12.0,4.0,2.0,1.0,16.0,4.0,2.0,1.0,23.0,5.0,527.0,1.0,16.0,3.0,12.0,2.0,5.0,20.0,395.0,4.0,3.0,15.0,1.0,12.0,1.0,1.0,1.0,3069.0,6.0,2.0,1.0,18.0,1.0,1.0,5.0,1.0,2.0,9.0,1.0,4.0,1.0,3.0,147.0,1.0,5.0,2.0,6.0,2.0,3.0,6.0,1.0,1.0,14.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,89.0,2.0
