,Aflitos,Afogados,Alto José Bonifácio,Alto José do Pinho,Alto Santa Terezinha,Alto do Mandu,Apipucos,Areias,Arruda,Barro,Beberibe,Boa Viagem,Boa Vista,Bomba do Hemetério,Bongi,Brasília Teimosa,Brejo da Guabiraba,Brejo do Beberibe,Cabanga,Cajueiro,Campina do Barreto,Campo Grande,Casa Amarela,Casa Forte,Caxangá,Caçote,Coelhos,Cohab,Coqueiral,Cordeiro,Curado,Córrego do Jenipapo,Derby,Dois Irmãos,Dois Unidos,Encruzilhada,Engenho do Meio,Espinheiro,Estância,Fundão,Graças,Guabiraba,Hipódromo,Ibura,Ilha Joana Bezerra,Ilha do Leite,Ilha do Retiro,Imbiribeira,Ipsep,Iputinga,Jaqueira,Jardim São Paulo,Jiquiá,Jordão,Linha do Tiro,Macaxeira,Madalena,Mangabeira,Mangueira,Monteiro,Morro da Conceição,Mustardinha,Nova Descoberta,Outros,Paissandu,Parnamirim,Passarinho,Peixinhos,Pina,Ponto de Parada,Porto da Madeira,Poço da Panela,Prado,Rosarinho,San Martin,Sancho,Santana,Santo Amaro,Santo Antônio,Soledade,São José,Sítio dos Pintos,Tamarineira,Tejipió,Torre,Torreão,Torrões,Totó,Vasco da Gama,Várzea,Zumbi,Água Fria
22 Mar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23 Mar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24 Mar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25 Mar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26 Mar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27 Mar,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28 Mar,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29 Mar,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
30 Mar,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
31 Mar,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
01 Apr,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
02 Apr,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
03 Apr,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,19.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0
04 Apr,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,19.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0
05 Apr,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,23.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,2.0,1.0,0.0,1.0,5.0,1.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,3.0,6.0,1.0,5.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0
06 Apr,2.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,23.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,2.0,1.0,0.0,1.0,5.0,1.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,3.0,6.0,1.0,5.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0
07 Apr,2.0,3.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,38.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,5.0,0.0,7.0,2.0,2.0,1.0,0.0,1.0,6.0,1.0,9.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,0.0,2.0,2.0,0.0,0.0,3.0,7.0,1.0,8.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,6.0,0.0,8.0,1.0,5.0,0.0,3.0,5.0,3.0,1.0
08 Apr,2.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,8.0,0.0,44.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,3.0,1.0,0.0,0.0,5.0,0.0,7.0,2.0,2.0,1.0,0.0,2.0,6.0,1.0,11.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,11.0,1.0,2.0,2.0,0.0,0.0,3.0,9.0,1.0,9.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,3.0,5.0,0.0,0.0,3.0,0.0,6.0,0.0,9.0,1.0,5.0,0.0,4.0,6.0,3.0,3.0
09 Apr,2.0,3.0,6.0,2.0,0.0,0.0,1.0,6.0,0.0,9.0,0.0,55.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,10.0,3.0,1.0,1.0,1.0,6.0,0.0,10.0,4.0,3.0,1.0,0.0,2.0,7.0,1.0,13.0,1.0,1.0,13.0,0.0,1.0,2.0,1.0,3.0,2.0,7.0,1.0,7.0,1.0,1.0,0.0,2.0,0.0,1.0,19.0,1.0,2.0,2.0,0.0,0.0,4.0,11.0,1.0,11.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,6.0,5.0,0.0,4.0,8.0,0.0,0.0,3.0,0.0,6.0,0.0,12.0,1.0,6.0,0.0,5.0,11.0,3.0,6.0
10 Apr,2.0,5.0,7.0,2.0,0.0,0.0,1.0,7.0,1.0,9.0,1.0,59.0,4.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,13.0,3.0,1.0,1.0,1.0,7.0,0.0,11.0,5.0,5.0,1.0,0.0,4.0,13.0,1.0,15.0,2.0,2.0,14.0,2.0,1.0,2.0,2.0,3.0,2.0,11.0,3.0,8.0,1.0,2.0,0.0,3.0,1.0,1.0,22.0,1.0,2.0,5.0,0.0,0.0,6.0,13.0,1.0,12.0,2.0,0.0,6.0,0.0,1.0,1.0,0.0,7.0,6.0,1.0,4.0,9.0,0.0,0.0,3.0,0.0,7.0,1.0,12.0,2.0,9.0,0.0,6.0,11.0,3.0,7.0
11 Apr,3.0,6.0,7.0,2.0,0.0,0.0,1.0,7.0,1.0,11.0,1.0,70.0,5.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,5.0,13.0,4.0,1.0,1.0,1.0,9.0,0.0,12.0,5.0,5.0,1.0,0.0,5.0,13.0,1.0,17.0,2.0,2.0,15.0,2.0,1.0,3.0,3.0,3.0,2.0,14.0,7.0,11.0,2.0,3.0,0.0,4.0,1.0,1.0,26.0,1.0,3.0,6.0,0.0,0.0,8.0,13.0,1.0,14.0,2.0,0.0,8.0,0.0,1.0,1.0,0.0,9.0,8.0,1.0,4.0,9.0,0.0,0.0,3.0,0.0,8.0,2.0,16.0,2.0,9.0,0.0,7.0,15.0,3.0,11.0
12 Apr,5.0,6.0,7.0,2.0,0.0,0.0,1.0,8.0,2.0,13.0,2.0,79.0,7.0,3.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,6.0,15.0,5.0,1.0,1.0,1.0,11.0,1.0,16.0,6.0,5.0,1.0,0.0,9.0,15.0,1.0,17.0,2.0,2.0,18.0,2.0,1.0,5.0,3.0,3.0,2.0,14.0,9.0,14.0,2.0,3.0,1.0,5.0,1.0,1.0,29.0,1.0,3.0,6.0,0.0,0.0,8.0,14.0,1.0,15.0,2.0,0.0,8.0,0.0,2.0,3.0,0.0,11.0,9.0,1.0,4.0,10.0,0.0,0.0,3.0,0.0,8.0,3.0,17.0,2.0,10.0,0.0,7.0,18.0,3.0,13.0
13 Apr,6.0,7.0,9.0,2.0,1.0,0.0,1.0,10.0,2.0,15.0,2.0,91.0,9.0,4.0,2.0,2.0,3.0,2.0,0.0,1.0,4.0,9.0,23.0,7.0,1.0,1.0,1.0,12.0,1.0,19.0,7.0,5.0,1.0,0.0,10.0,15.0,2.0,18.0,2.0,2.0,22.0,2.0,1.0,8.0,3.0,3.0,3.0,16.0,10.0,17.0,2.0,6.0,1.0,8.0,1.0,2.0,34.0,1.0,3.0,7.0,1.0,1.0,11.0,19.0,1.0,16.0,2.0,0.0,10.0,0.0,4.0,5.0,0.0,13.0,11.0,1.0,4.0,14.0,0.0,0.0,4.0,0.0,10.0,4.0,18.0,2.0,10.0,0.0,8.0,20.0,3.0,19.0
14 Apr,9.0,7.0,9.0,3.0,1.0,0.0,1.0,11.0,2.0,16.0,2.0,95.0,10.0,4.0,2.0,2.0,3.0,2.0,0.0,1.0,4.0,9.0,23.0,7.0,1.0,1.0,1.0,12.0,1.0,22.0,7.0,5.0,1.0,0.0,12.0,16.0,3.0,18.0,2.0,2.0,25.0,2.0,1.0,8.0,3.0,3.0,3.0,18.0,12.0,19.0,2.0,6.0,1.0,9.0,2.0,3.0,37.0,1.0,3.0,8.0,2.0,1.0,14.0,22.0,1.0,18.0,2.0,0.0,12.0,0.0,4.0,5.0,0.0,14.0,12.0,1.0,7.0,14.0,0.0,0.0,4.0,0.0,11.0,4.0,20.0,2.0,13.0,0.0,8.0,25.0,4.0,20.0
